User,User (Team),Player 1 (Captain),Player 2 (Vice Captain),Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11
BLUEFA2GH,BLUEFA2GH (1),Cody Gakpo,Mario Gotze,Bruno Martins Indi,Dani De Wit,Fredrik Midtsjo,Ibrahim Sangare,Jesper Karlsson,Mauro Junior,Olivier Boscagli,Phillipp Mwene,Yvon Mvogo
Bmchan,Bmchan (1),Cody Gakpo,Ibrahim Sangare,Bruno Martins Indi,Dani De Wit,Mario Gotze,Mauro Junior,Olivier Boscagli,Phillipp Mwene,Vangelis Pavlidis,Yukinari Sugawara,Yvon Mvogo
Bmchan,Bmchan (2),Cody Gakpo,Phillipp Mwene,Bruno Martins Indi,Dani De Wit,Ibrahim Sangare,Mario Gotze,Mauro Junior,Olivier Boscagli,Vangelis Pavlidis,Yukinari Sugawara,Yvon Mvogo
Bmchan,Bmchan (3),Cody Gakpo,Dani De Wit,Bruno Martins Indi,Ibrahim Sangare,Mario Gotze,Mauro Junior,Olivier Boscagli,Phillipp Mwene,Vangelis Pavlidis,Yukinari Sugawara,Yvon Mvogo
Bmchan,Bmchan (4),Cody Gakpo,Mario Gotze,Bruno Martins Indi,Dani De Wit,Ibrahim Sangare,Mauro Junior,Olivier Boscagli,Phillipp Mwene,Vangelis Pavlidis,Yukinari Sugawara,Yvon Mvogo
Bmchan,Bmchan (5),Cody Gakpo,Mauro Junior,Bruno Martins Indi,Dani De Wit,Ibrahim Sangare,Mario Gotze,Olivier Boscagli,Phillipp Mwene,Vangelis Pavlidis,Yukinari Sugawara,Yvon Mvogo
Bmchan,Bmchan (6),Phillipp Mwene,Cody Gakpo,Bruno Martins Indi,Dani De Wit,Ibrahim Sangare,Mario Gotze,Mauro Junior,Olivier Boscagli,Vangelis Pavlidis,Yukinari Sugawara,Yvon Mvogo
Bmchan,Bmchan (7),Ibrahim Sangare,Cody Gakpo,Bruno Martins Indi,Dani De Wit,Mario Gotze,Mauro Junior,Olivier Boscagli,Phillipp Mwene,Vangelis Pavlidis,Yukinari Sugawara,Yvon Mvogo
Bmchan,Bmchan (8),Mauro Junior,Cody Gakpo,Bruno Martins Indi,Dani De Wit,Ibrahim Sangare,Mario Gotze,Olivier Boscagli,Phillipp Mwene,Vangelis Pavlidis,Yukinari Sugawara,Yvon Mvogo
Bmchan,Bmchan (9),Mario Gotze,Cody Gakpo,Bruno Martins Indi,Dani De Wit,Ibrahim Sangare,Mauro Junior,Olivier Boscagli,Phillipp Mwene,Vangelis Pavlidis,Yukinari Sugawara,Yvon Mvogo
